SNO,Date,Time,ADC,Humidity_pct,Temp_C,Voltage_V
1,10-11-2025,14:28:33:221267,256.0,48.86,19.49,2.73
2,10-11-2025,14:28:34:223269,246.0,48.85,19.3,2.73
3,10-11-2025,14:28:35:229269,237.0,48.75,19.18,2.72
4,10-11-2025,14:28:36:235269,229.0,48.63,19.09,2.73
5,10-11-2025,14:28:37:241268,222.0,48.49,19.01,2.72
6,10-11-2025,14:28:38:247268,217.0,48.36,18.95,2.73
7,10-11-2025,14:28:39:254268,208.0,48.33,18.9,2.72
8,10-11-2025,14:28:40:260268,205.0,48.34,18.85,2.72
9,10-11-2025,14:28:41:266270,202.0,48.39,18.81,2.72
10,10-11-2025,14:28:42:272268,200.0,48.46,18.77,2.72
11,10-11-2025,14:28:43:280269,197.0,48.53,18.73,2.73
12,10-11-2025,14:28:44:286269,195.0,48.67,18.7,2.72
13,10-11-2025,14:28:45:292269,192.0,48.83,18.68,2.73
14,10-11-2025,14:28:46:295270,190.0,48.94,18.66,2.72
15,10-11-2025,14:28:47:302269,189.0,49.1,18.64,2.73
16,10-11-2025,14:28:48:308269,188.0,49.26,18.63,2.71
17,10-11-2025,14:28:49:314269,187.0,49.48,18.62,2.72
18,10-11-2025,14:28:50:320269,186.0,49.68,18.62,2.72
19,10-11-2025,14:28:51:326269,184.0,49.9,18.62,2.72
20,10-11-2025,14:28:52:334276,182.0,50.1,18.63,2.72
21,10-11-2025,14:28:53:340269,180.0,50.31,18.63,2.72
22,10-11-2025,14:28:54:350269,181.0,50.48,18.64,2.72
23,10-11-2025,14:28:55:351252,180.0,50.61,18.66,2.72
24,10-11-2025,14:28:56:357266,178.0,50.74,18.67,2.72
25,10-11-2025,14:28:57:363271,177.0,50.85,18.69,2.72
26,10-11-2025,14:28:58:369280,176.0,50.93,18.72,2.73
27,10-11-2025,14:28:59:375271,175.0,51.02,18.74,2.72
28,10-11-2025,14:29:00:377268,173.0,51.06,18.77,2.72
29,10-11-2025,14:29:01:383309,171.0,51.09,18.79,2.72
30,10-11-2025,14:29:02:388268,170.0,51.05,18.82,2.72
31,10-11-2025,14:29:03:388271,168.0,51.0,18.85,2.73
32,10-11-2025,14:29:04:389253,166.0,50.94,18.87,2.71
33,10-11-2025,14:29:05:390252,166.0,50.87,18.9,2.72
34,10-11-2025,14:29:06:391253,165.0,50.78,18.92,2.72
35,10-11-2025,14:29:07:392252,163.0,50.71,18.95,2.72
36,10-11-2025,14:29:08:398266,163.0,50.64,18.98,2.72
37,10-11-2025,14:29:09:404271,161.0,50.59,19.0,2.72
38,10-11-2025,14:29:10:410267,160.0,50.53,19.03,2.71
39,10-11-2025,14:29:11:413273,160.0,50.48,19.06,2.73
40,10-11-2025,14:29:12:415267,158.0,50.4,19.09,2.72
41,10-11-2025,14:29:13:421302,157.0,50.34,19.12,2.71
42,10-11-2025,14:29:14:422253,157.0,50.29,19.14,2.71
43,10-11-2025,14:29:15:428268,154.0,50.2,19.16,2.71
44,10-11-2025,14:29:16:428269,154.0,50.11,19.17,2.72
45,10-11-2025,14:29:17:430253,153.0,49.97,19.18,2.72
46,10-11-2025,14:29:18:436265,152.0,49.83,19.18,2.72
47,10-11-2025,14:29:19:438272,150.0,49.73,19.19,2.73
48,10-11-2025,14:29:20:438264,149.0,49.61,19.19,2.71
49,10-11-2025,14:29:21:444270,149.0,49.47,19.18,2.71
50,10-11-2025,14:29:22:450267,147.0,49.37,19.18,2.72
51,10-11-2025,14:29:23:451252,146.0,49.26,19.16,2.73
