SNO,Date,Time,ADC,Humidity_pct,Temp_C,Voltage_V,PHASE
1,10/9/2025,09:49:13:714695,222,79.95,30.15,2.69,AC ON DOOR OPEN STARTS
2,10/9/2025,09:49:16:812627,166,79.73,29.91,2.68,
3,10/9/2025,09:49:19:905620,142,79.54,29.72,2.67,
4,10/9/2025,09:49:22:919666,129,79.41,29.58,2.69,
5,10/9/2025,09:49:25:933624,121,79.24,29.47,2.68,
6,10/9/2025,09:49:28:947618,115,78.88,29.38,2.69,
7,10/9/2025,09:49:31:961620,111,78.37,29.29,2.68,
8,10/9/2025,09:49:34:975618,109,78.01,29.22,2.68,
9,10/9/2025,09:49:38:257672,95,77.34,29.4,2.68,
10,10/9/2025,09:49:41:308667,86,75.1,29.77,2.68,
11,10/9/2025,09:49:44:312685,90,75.51,29.57,2.68,
12,10/9/2025,09:49:48:266665,84,75.22,29.58,2.68,
13,10/9/2025,09:49:52:119666,82,74.57,29.6,2.68,
14,10/9/2025,09:49:56:064665,82,74.51,29.53,2.69,
15,10/9/2025,09:49:59:917666,81,74.57,29.48,2.68,
16,10/9/2025,09:50:02:989676,83,74.62,29.28,2.68,
17,10/9/2025,09:50:06:034665,80,74.68,29.48,2.68,
18,10/9/2025,09:50:09:979668,81,74.95,29.39,2.69,
19,10/9/2025,09:50:13:825664,80,74.88,29.33,2.68,
20,10/9/2025,09:50:16:905676,83,74.48,29.12,2.68,
21,10/9/2025,09:50:20:255759,80,74.5,29.25,2.68,
22,10/9/2025,09:50:24:108666,81,74.59,29.23,2.67,
23,10/9/2025,09:50:27:188673,84,74.56,29.03,2.66,
24,10/9/2025,09:50:30:231664,81,74.68,29.21,2.66,
25,10/9/2025,09:50:33:983695,81,74.53,29.16,2.69,
26,10/9/2025,09:50:37:063676,84,74.39,28.91,2.68,
27,10/9/2025,09:50:40:107669,82,74.08,29.03,2.68,
28,10/9/2025,09:50:43:187674,84,73.98,28.81,2.68,
29,10/9/2025,09:50:46:267691,85,74.44,28.68,2.69,
30,10/9/2025,09:50:49:281618,89,75.72,28.47,2.68,
31,10/9/2025,09:50:52:297620,90,76.41,28.28,2.68,
32,10/9/2025,09:50:55:311618,93,76.82,28.12,2.68,
33,10/9/2025,09:50:58:325620,93,77.08,27.98,2.68,
34,10/9/2025,09:51:01:405675,89,76.49,27.95,2.68,
35,10/9/2025,09:51:04:420618,92,76.58,27.83,2.68,
36,10/9/2025,09:51:07:434620,94,76.94,27.72,2.69,
37,10/9/2025,09:51:10:448618,95,77.18,27.61,2.68,
38,10/9/2025,09:51:13:462620,96,77.31,27.52,2.69,
39,10/9/2025,09:51:16:476618,98,77.44,27.43,2.65,
40,10/9/2025,09:51:19:490620,99,77.75,27.35,2.68,
41,10/9/2025,09:51:22:506618,99,78,27.28,2.69,
42,10/9/2025,09:51:25:520620,99,78.15,27.22,2.68,
43,10/9/2025,09:51:28:534618,100,78.48,27.17,2.69,
44,10/9/2025,09:51:32:119672,93,78.27,27.38,2.69,
45,10/9/2025,09:51:35:973666,89,76.61,27.68,2.66,
46,10/9/2025,09:51:39:718665,87,75.92,27.81,2.67,
47,10/9/2025,09:51:42:798715,88,75.18,27.68,2.66,
48,10/9/2025,09:51:45:842666,86,74.73,27.9,2.68,
49,10/9/2025,09:51:48:922676,87,74.4,27.72,2.66,
50,10/9/2025,09:51:51:966668,86,73.89,27.86,2.66,
51,10/9/2025,09:51:55:922666,85,73.85,27.78,2.67,
52,10/9/2025,09:51:59:003673,88,73.71,27.63,2.68,
53,10/9/2025,09:52:02:048767,86,73.59,27.72,2.66,
54,10/9/2025,09:52:05:693664,86,73.81,27.68,2.66,
55,10/9/2025,09:52:08:773676,87,73.82,27.45,2.69,
56,10/9/2025,09:52:12:020666,85,74.04,27.58,2.7,
57,10/9/2025,09:52:15:974666,86,74.31,27.57,2.67,
58,10/9/2025,09:52:19:055685,88,74.05,27.4,2.66,
59,10/9/2025,09:52:22:100667,85,73.63,27.53,2.69,
60,10/9/2025,09:52:25:953664,85,73.84,27.49,2.69,
61,10/9/2025,09:52:29:908698,86,74.16,27.44,2.67,
62,10/9/2025,09:52:32:988674,88,74,27.3,2.66,
63,10/9/2025,09:52:36:235666,86,74.07,27.4,2.7,
64,10/9/2025,09:52:39:886665,86,73.97,27.41,2.66,
65,10/9/2025,09:52:43:733665,86,73.9,27.33,2.66,
66,10/9/2025,09:52:47:679665,87,73.9,27.27,2.69,
67,10/9/2025,09:52:50:759674,89,73.65,27.08,2.66,
68,10/9/2025,09:52:54:208664,87,73.75,27.19,2.66,
69,10/9/2025,09:52:58:162664,87,73.74,27.2,2.66,
70,10/9/2025,09:53:01:849672,88,74.43,27.09,2.66,
71,10/9/2025,09:53:05:032684,88,74.45,27.02,2.68,
72,10/9/2025,09:53:08:112674,90,73.65,26.93,2.67,
73,10/9/2025,09:53:11:192675,90,73.79,26.75,2.66,
74,10/9/2025,09:53:15:009669,87,72.88,27.2,2.64,
75,10/9/2025,09:53:18:089676,89,72.84,26.96,2.69,
76,10/9/2025,09:53:21:437665,87,73.08,27.04,2.69,
77,10/9/2025,09:53:24:481666,87,72.38,27.18,2.68,
78,10/9/2025,09:53:28:399669,86,71.89,27.32,2.66,
79,10/9/2025,09:53:32:252666,87,72.26,27.16,2.66,
80,10/9/2025,09:53:36:106665,87,72.35,27.05,2.66,
81,10/9/2025,09:53:39:953665,87,72.48,26.94,2.7,
82,10/9/2025,09:53:43:033673,89,72.37,26.74,2.68,
83,10/9/2025,09:53:46:280665,87,72.35,26.86,2.69,
84,10/9/2025,09:53:49:360689,90,72.31,26.75,2.7,
85,10/9/2025,09:53:52:440685,90,72.92,26.56,2.69,
86,10/9/2025,09:53:55:534644,93,73.74,26.38,2.69,
87,10/9/2025,09:53:58:629672,96,74.46,26.22,2.66,
88,10/9/2025,09:54:01:708674,93,74.08,26.15,2.67,
89,10/9/2025,09:54:04:722619,96,74.4,26.04,2.68,
90,10/9/2025,09:54:07:736620,97,74.87,25.94,2.67,
91,10/9/2025,09:54:10:752619,98,75.1,25.85,2.67,
92,10/9/2025,09:54:13:766619,99,75.4,25.78,2.66,AC on Door Open Ends
93,10/9/2025,09:54:16:780620,101,75.65,25.72,2.67,AC ON DOOR CLOSE STARTS
94,10/9/2025,09:54:19:794621,101,75.72,25.67,2.69,
95,10/9/2025,09:54:22:808620,101,75.81,25.62,2.67,
96,10/9/2025,09:54:25:822621,102,75.71,25.59,2.66,
97,10/9/2025,09:54:28:836620,102,75.6,25.55,2.66,
98,10/9/2025,09:54:31:850621,102,75.51,25.51,2.69,
99,10/9/2025,09:54:34:864620,103,75.25,25.47,2.68,
100,10/9/2025,09:54:37:878621,103,75.2,25.43,2.68,
