SNO,Date,Time,ADC_S1,Humidity_pct_S1,Temp_C_S1,Voltage_V_S1,ADC_S2,Humidity_pct_S2,Temp_C_S2,Voltage_V_S2,Running_Time
1,12-11-2025,13:49:03:840688,532,57.9,25.96,2.73,,,,,00:00:00
2,12-11-2025,13:49:04:843668,509,57.74,25.81,2.73,,,,,00:00:01
3,12-11-2025,13:49:05:845669,472,57.53,25.71,2.72,,,,,00:00:02
4,12-11-2025,13:49:06:847668,423,57.27,25.65,2.72,,,,,00:00:03
5,12-11-2025,13:49:07:849668,391,57.05,25.61,2.72,,,,,00:00:04
6,12-11-2025,13:49:08:851677,359,56.81,25.59,2.72,,,,,00:00:05
7,12-11-2025,13:49:09:853668,333,56.64,25.58,2.73,,,,,00:00:06
8,12-11-2025,13:49:10:855665,308,56.45,25.57,2.71,,,,,00:00:07
9,12-11-2025,13:49:11:857668,288,56.31,25.58,2.72,,,,,00:00:08
10,12-11-2025,13:49:12:862665,270,56.19,25.58,2.72,,,,,00:00:09
11,12-11-2025,13:49:13:866669,255,56.1,25.58,2.72,,,,,00:00:10
12,12-11-2025,13:49:14:868668,241,56.0,25.59,2.72,,,,,00:00:11
13,12-11-2025,13:49:15:870669,229,55.94,25.6,2.72,,,,,00:00:12
14,12-11-2025,13:49:16:873668,218,55.89,25.6,2.72,,,,,00:00:13
15,12-11-2025,13:49:17:875669,206,55.86,25.61,2.72,,,,,00:00:14
16,12-11-2025,13:49:18:877668,199,55.82,25.62,2.73,,,,,00:00:15
17,12-11-2025,13:49:19:879669,191,55.79,25.63,2.72,,,,,00:00:16
18,12-11-2025,13:49:20:882668,184,55.76,25.64,2.72,,,,,00:00:17
19,12-11-2025,13:49:21:884669,179,55.74,25.65,2.72,,,,,00:00:18
20,12-11-2025,13:49:22:888668,173,55.71,25.65,2.72,,,,,00:00:19
21,12-11-2025,13:49:23:890669,168,55.68,25.66,2.72,,,,,00:00:20
22,12-11-2025,13:49:24:893669,164,55.66,25.67,2.72,,,,,00:00:21
23,12-11-2025,13:49:25:895669,159,55.63,25.67,2.72,,,,,00:00:22
24,12-11-2025,13:49:26:897668,157,55.6,25.68,2.71,,,,,00:00:23
25,12-11-2025,13:49:27:900669,153,55.56,25.68,2.72,,,,,00:00:24
26,12-11-2025,13:49:28:903668,150,55.52,25.69,2.72,,,,,00:00:25
27,12-11-2025,13:49:29:905669,147,55.5,25.69,2.72,,,,,00:00:26
28,12-11-2025,13:49:30:907668,145,55.45,25.7,2.72,,,,,00:00:27
29,12-11-2025,13:49:31:909669,142,55.41,25.7,2.72,,,,,00:00:28
30,12-11-2025,13:49:32:914669,140,55.38,25.71,2.72,,,,,00:00:29
31,12-11-2025,13:49:33:916669,137,55.33,25.71,2.72,,,,,00:00:30
32,12-11-2025,13:49:34:918669,136,55.3,25.72,2.72,,,,,00:00:31
33,12-11-2025,13:49:35:921669,134,55.28,25.72,2.71,,,,,00:00:32
34,12-11-2025,13:49:36:923668,132,55.23,25.73,2.71,,,,,00:00:33
35,12-11-2025,13:49:37:925669,130,55.22,25.73,2.72,,,,,00:00:34
36,12-11-2025,13:49:38:928710,129,55.19,25.74,2.7,,,,,00:00:35
37,12-11-2025,13:49:39:935697,128,55.16,25.74,2.71,,,,,00:00:36
38,12-11-2025,13:49:40:943675,127,55.15,25.74,2.71,,,,,00:00:37
39,12-11-2025,13:49:41:944687,126,55.14,25.75,2.72,,,,,00:00:38
40,12-11-2025,13:49:42:949675,124,55.13,25.75,2.72,,,,,00:00:39
41,12-11-2025,13:49:43:955690,124,55.11,25.75,2.72,,,,,00:00:40
42,12-11-2025,13:49:44:958675,122,55.11,25.76,2.72,,,,,00:00:41
43,12-11-2025,13:49:45:965687,121,55.1,25.76,2.72,,,,,00:00:42
44,12-11-2025,13:49:46:967691,121,55.1,25.77,2.71,,,,,00:00:43
45,12-11-2025,13:49:47:970683,120,55.06,25.77,2.72,,,,,00:00:44
46,12-11-2025,13:49:48:972675,119,55.05,25.77,2.72,,,,,00:00:45
47,12-11-2025,13:49:49:974673,118,55.03,25.78,2.72,,,,,00:00:46
48,12-11-2025,13:49:50:976673,118,55.04,25.78,2.72,,,,,00:00:47
49,12-11-2025,13:49:51:979673,117,55.04,25.78,2.72,,,,,00:00:48
50,12-11-2025,13:49:52:983673,116,55.01,25.79,2.72,,,,,00:00:49
51,12-11-2025,13:49:53:985672,115,55.0,25.79,2.72,,,,,00:00:50
52,12-11-2025,13:49:54:988675,114,54.98,25.79,2.72,,,,,00:00:51
