SNO,Date,Time,ADC,Humidity_pct,Temp_C,Voltage_V,Running_Time
1,12-11-2025,10:46:59:721472,1618,57.7,25.78,2.74,00:00:00
2,12-11-2025,10:47:00:723450,1373,57.61,25.62,2.72,00:00:01
3,12-11-2025,10:47:01:725454,1161,57.38,25.52,2.71,00:00:02
4,12-11-2025,10:47:02:727450,1004,57.11,25.46,2.72,00:00:03
5,12-11-2025,10:47:03:729450,890,56.98,25.43,2.72,00:00:04
6,12-11-2025,10:47:04:731450,780,56.97,25.42,2.74,00:00:05
7,12-11-2025,10:47:05:736450,706,56.96,25.41,2.72,00:00:06
8,12-11-2025,10:47:06:738449,648,56.89,25.41,2.72,00:00:07
9,12-11-2025,10:47:07:740450,600,56.77,25.42,2.72,00:00:08
10,12-11-2025,10:47:08:742449,561,56.61,25.43,2.72,00:00:09
11,12-11-2025,10:47:09:743454,530,56.46,25.44,2.72,00:00:10
12,12-11-2025,10:47:10:745450,503,56.37,25.46,2.72,00:00:11
13,12-11-2025,10:47:11:747454,477,56.31,25.47,2.72,00:00:12
14,12-11-2025,10:47:12:749450,455,56.18,25.49,2.72,00:00:13
15,12-11-2025,10:47:13:751454,425,56.04,25.5,2.74,00:00:14
16,12-11-2025,10:47:14:753450,409,55.92,25.52,2.72,00:00:15
17,12-11-2025,10:47:15:755454,394,55.77,25.53,2.72,00:00:16
18,12-11-2025,10:47:16:757450,380,55.67,25.55,2.7,00:00:17
19,12-11-2025,10:47:17:759454,368,55.55,25.56,2.72,00:00:18
20,12-11-2025,10:47:18:763450,357,55.44,25.57,2.73,00:00:19
21,12-11-2025,10:47:19:765454,346,55.34,25.58,2.72,00:00:20
22,12-11-2025,10:47:20:767450,337,55.25,25.59,2.72,00:00:21
23,12-11-2025,10:47:21:769454,328,55.16,25.6,2.71,00:00:22
24,12-11-2025,10:47:22:771450,320,55.09,25.61,2.72,00:00:23
25,12-11-2025,10:47:23:773454,313,55.01,25.62,2.71,00:00:24
26,12-11-2025,10:47:24:775450,305,54.96,25.63,2.72,00:00:25
27,12-11-2025,10:47:25:777454,298,54.89,25.64,2.73,00:00:26
28,12-11-2025,10:47:26:779450,291,54.84,25.65,2.72,00:00:27
29,12-11-2025,10:47:27:781454,285,54.78,25.66,2.71,00:00:28
30,12-11-2025,10:47:28:785450,280,54.73,25.67,2.72,00:00:29
31,12-11-2025,10:47:29:787454,274,54.66,25.68,2.72,00:00:30
32,12-11-2025,10:47:30:789450,269,54.62,25.68,2.71,00:00:31
33,12-11-2025,10:47:31:791454,263,54.53,25.69,2.73,00:00:32
34,12-11-2025,10:47:32:793450,259,54.44,25.69,2.73,00:00:33
35,12-11-2025,10:47:33:795560,254,54.29,25.69,2.73,00:00:34
36,12-11-2025,10:47:34:797450,250,54.18,25.7,2.72,00:00:35
37,12-11-2025,10:47:35:799454,245,54.11,25.7,2.72,00:00:36
38,12-11-2025,10:47:36:801450,242,54.03,25.71,2.73,00:00:37
39,12-11-2025,10:47:37:803454,239,53.95,25.71,2.73,00:00:38
40,12-11-2025,10:47:38:807450,236,53.88,25.71,2.71,00:00:39
41,12-11-2025,10:47:39:809454,233,53.85,25.72,2.72,00:00:40
42,12-11-2025,10:47:40:811450,229,53.81,25.72,2.72,00:00:41
43,12-11-2025,10:47:41:813454,227,53.76,25.73,2.72,00:00:42
44,12-11-2025,10:47:42:815462,224,53.74,25.73,2.73,00:00:43
45,12-11-2025,10:47:43:817450,222,53.71,25.74,2.72,00:00:44
46,12-11-2025,10:47:44:819450,219,53.67,25.74,2.74,00:00:45
47,12-11-2025,10:47:45:821450,217,53.64,25.75,2.73,00:00:46
48,12-11-2025,10:47:46:823449,215,53.62,25.75,2.72,00:00:47
49,12-11-2025,10:47:47:825450,209,53.59,25.75,2.73,00:00:48
50,12-11-2025,10:47:48:829450,206,53.57,25.76,2.72,00:00:49
51,12-11-2025,10:47:49:831454,205,53.56,25.76,2.72,00:00:50
52,12-11-2025,10:47:50:833450,203,53.54,25.77,2.72,00:00:51
53,12-11-2025,10:47:51:835454,201,53.52,25.77,2.74,00:00:52
54,12-11-2025,10:47:52:837450,199,53.49,25.78,2.72,00:00:53
55,12-11-2025,10:47:53:839450,197,53.48,25.78,2.73,00:00:54
56,12-11-2025,10:47:54:841449,195,53.46,25.78,2.73,00:00:55
57,12-11-2025,10:47:55:843450,193,53.42,25.79,2.72,00:00:56
58,12-11-2025,10:47:56:845450,193,53.4,25.79,2.73,00:00:57
59,12-11-2025,10:47:57:847450,191,53.4,25.8,2.72,00:00:58
60,12-11-2025,10:47:58:851449,190,53.4,25.8,2.72,00:00:59
61,12-11-2025,10:47:59:853454,188,53.39,25.8,2.72,00:01:00
62,12-11-2025,10:48:00:856450,186,53.38,25.8,2.72,00:01:01
63,12-11-2025,10:48:01:858575,185,53.32,25.81,2.73,00:01:02
64,12-11-2025,10:48:02:860450,183,53.28,25.81,2.72,00:01:03
65,12-11-2025,10:48:03:862450,182,53.23,25.81,2.71,00:01:04
66,12-11-2025,10:48:04:864449,180,53.16,25.81,2.72,00:01:05
67,12-11-2025,10:48:05:866450,179,53.12,25.81,2.73,00:01:06
68,12-11-2025,10:48:06:868449,178,53.08,25.81,2.72,00:01:07
69,12-11-2025,10:48:07:870450,177,53.05,25.82,2.72,00:01:08
70,12-11-2025,10:48:08:874450,176,53.01,25.82,2.73,00:01:09
71,12-11-2025,10:48:09:876454,174,52.97,25.82,2.72,00:01:10
72,12-11-2025,10:48:10:878450,173,52.89,25.82,2.72,00:01:11
73,12-11-2025,10:48:11:880454,172,52.83,25.82,2.73,00:01:12
74,12-11-2025,10:48:12:882450,170,52.79,25.82,2.72,00:01:13
75,12-11-2025,10:48:13:884450,168,52.69,25.82,2.73,00:01:14
76,12-11-2025,10:48:14:886450,166,52.54,25.8,2.73,00:01:15
77,12-11-2025,10:48:15:888450,165,52.36,25.79,2.72,00:01:16
78,12-11-2025,10:48:16:890449,164,52.2,25.78,2.72,00:01:17
79,12-11-2025,10:48:17:895450,162,52.06,25.77,2.73,00:01:18
80,12-11-2025,10:48:18:897450,161,51.95,25.75,2.72,00:01:19
81,12-11-2025,10:48:19:899454,159,51.82,25.73,2.72,00:01:20
82,12-11-2025,10:48:20:901470,159,51.69,25.71,2.73,00:01:21
83,12-11-2025,10:48:21:903454,157,51.62,25.69,2.74,00:01:22
84,12-11-2025,10:48:22:905450,156,51.57,25.68,2.71,00:01:23
85,12-11-2025,10:48:23:907450,155,51.55,25.68,2.72,00:01:24
86,12-11-2025,10:48:24:909449,155,51.52,25.67,2.71,00:01:25
87,12-11-2025,10:48:25:911450,154,51.52,25.66,2.72,00:01:26
88,12-11-2025,10:48:26:913449,153,51.53,25.66,2.73,00:01:27
89,12-11-2025,10:48:27:917450,154,51.56,25.66,2.73,00:01:28
90,12-11-2025,10:48:28:919450,153,51.6,25.66,2.72,00:01:29
91,12-11-2025,10:48:29:921454,152,51.67,25.66,2.72,00:01:30
92,12-11-2025,10:48:30:923450,152,51.71,25.66,2.73,00:01:31
93,12-11-2025,10:48:31:925454,151,51.76,25.66,2.72,00:01:32
94,12-11-2025,10:48:32:927450,150,51.81,25.66,2.72,00:01:33
95,12-11-2025,10:48:33:929450,150,51.86,25.66,2.72,00:01:34
96,12-11-2025,10:48:34:931449,149,51.86,25.66,2.72,00:01:35
97,12-11-2025,10:48:35:933450,148,51.9,25.66,2.72,00:01:36
98,12-11-2025,10:48:36:935450,147,51.88,25.66,2.72,00:01:37
99,12-11-2025,10:48:37:939450,147,51.86,25.66,2.72,00:01:38
100,12-11-2025,10:48:38:941449,146,51.86,25.65,2.71,00:01:39
101,12-11-2025,10:48:39:943454,146,51.83,25.66,2.72,00:01:40
102,12-11-2025,10:48:40:945450,146,51.84,25.65,2.72,00:01:41
103,12-11-2025,10:48:41:947454,145,51.85,25.66,2.72,00:01:42
104,12-11-2025,10:48:42:949450,144,51.88,25.66,2.73,00:01:43
105,12-11-2025,10:48:43:951454,143,51.88,25.65,2.71,00:01:44
106,12-11-2025,10:48:44:953450,142,51.8,25.65,2.73,00:01:45
107,12-11-2025,10:48:45:955454,142,51.74,25.65,2.71,00:01:46
108,12-11-2025,10:48:46:957450,141,51.63,25.65,2.72,00:01:47
109,12-11-2025,10:48:47:961454,140,51.55,25.65,2.72,00:01:48
110,12-11-2025,10:48:48:963477,139,51.45,25.64,2.73,00:01:49
111,12-11-2025,10:48:49:965454,138,51.33,25.64,2.72,00:01:50
112,12-11-2025,10:48:50:967450,138,51.21,25.63,2.71,00:01:51
113,12-11-2025,10:48:51:969454,137,51.09,25.63,2.72,00:01:52
114,12-11-2025,10:48:52:971450,136,50.97,25.62,2.71,00:01:53
115,12-11-2025,10:48:53:978493,136,50.9,25.62,2.73,00:01:54
116,12-11-2025,10:48:54:986473,135,50.86,25.62,2.71,00:01:55
117,12-11-2025,10:48:55:992474,135,50.86,25.62,2.72,00:01:56
118,12-11-2025,10:48:56:998460,134,50.86,25.62,2.72,00:01:57
119,12-11-2025,10:48:58:005476,134,50.83,25.61,2.72,00:01:58
120,12-11-2025,10:48:59:013474,133,50.79,25.61,2.72,00:01:59
121,12-11-2025,10:49:00:033476,132,50.71,25.59,2.72,00:02:00
122,12-11-2025,10:49:01:041505,131,50.57,25.57,2.72,00:02:01
123,12-11-2025,10:49:02:048472,130,50.36,25.54,2.73,00:02:02
124,12-11-2025,10:49:03:056474,129,50.17,25.52,2.73,00:02:03
125,12-11-2025,10:49:04:063472,128,49.99,25.5,2.72,00:02:04
126,12-11-2025,10:49:05:070474,127,49.83,25.48,2.72,00:02:05
127,12-11-2025,10:49:06:079474,128,49.74,25.47,2.72,00:02:06
128,12-11-2025,10:49:07:089474,127,49.66,25.45,2.71,00:02:07
129,12-11-2025,10:49:08:096473,126,49.63,25.44,2.72,00:02:08
130,12-11-2025,10:49:09:098461,125,49.62,25.43,2.71,00:02:09
131,12-11-2025,10:49:10:105458,126,49.63,25.42,2.75,00:02:10
132,12-11-2025,10:49:11:112458,125,49.66,25.41,2.74,00:02:11
133,12-11-2025,10:49:12:113476,125,49.7,25.41,2.71,00:02:12
134,12-11-2025,10:49:13:120474,124,49.73,25.4,2.72,00:02:13
135,12-11-2025,10:49:14:124475,124,49.77,25.39,2.71,00:02:14
136,12-11-2025,10:49:15:131473,124,49.83,25.39,2.7,00:02:15
137,12-11-2025,10:49:16:138474,125,49.93,25.39,2.72,00:02:16
138,12-11-2025,10:49:17:147474,124,49.98,25.38,2.72,00:02:17
139,12-11-2025,10:49:18:155474,124,50.01,25.38,2.72,00:02:18
140,12-11-2025,10:49:19:156462,122,50.03,25.37,2.72,00:02:19
141,12-11-2025,10:49:20:163460,123,50.01,25.36,2.72,00:02:20
142,12-11-2025,10:49:21:171471,121,49.97,25.35,2.72,00:02:21
143,12-11-2025,10:49:22:178477,121,49.93,25.35,2.72,00:02:22
144,12-11-2025,10:49:23:181472,121,49.87,25.34,2.72,00:02:23
145,12-11-2025,10:49:24:188481,120,49.81,25.33,2.72,00:02:24
146,12-11-2025,10:49:25:192472,120,49.76,25.32,2.72,00:02:25
147,12-11-2025,10:49:26:201477,119,49.68,25.31,2.7,00:02:26
148,12-11-2025,10:49:27:208471,118,49.56,25.3,2.72,00:02:27
149,12-11-2025,10:49:28:211478,118,49.45,25.29,2.74,00:02:28
150,12-11-2025,10:49:29:218471,117,49.33,25.29,2.73,00:02:29
151,12-11-2025,10:49:30:225477,117,49.23,25.28,2.72,00:02:30
152,12-11-2025,10:49:31:233471,116,49.16,25.27,2.72,00:02:31
153,12-11-2025,10:49:32:240477,116,49.1,25.27,2.73,00:02:32
154,12-11-2025,10:49:33:248472,115,49.03,25.26,2.72,00:02:33
155,12-11-2025,10:49:34:250478,114,48.93,25.25,2.73,00:02:34
156,12-11-2025,10:49:35:260471,114,48.84,25.24,2.71,00:02:35
157,12-11-2025,10:49:36:265458,114,48.77,25.23,2.73,00:02:36
158,12-11-2025,10:49:37:266474,114,48.72,25.22,2.7,00:02:37
159,12-11-2025,10:49:38:268458,113,48.65,25.21,2.71,00:02:38
160,12-11-2025,10:49:39:271473,112,48.64,25.21,2.73,00:02:39
161,12-11-2025,10:49:40:277477,112,48.61,25.19,2.72,00:02:40
162,12-11-2025,10:49:41:278472,112,48.54,25.19,2.7,00:02:41
163,12-11-2025,10:49:42:280458,112,48.49,25.18,2.72,00:02:42
164,12-11-2025,10:49:43:283475,111,48.44,25.16,2.72,00:02:43
165,12-11-2025,10:49:44:283474,110,48.33,25.13,2.72,00:02:44
166,12-11-2025,10:49:45:285464,109,48.17,25.1,2.7,00:02:45
167,12-11-2025,10:49:46:286475,108,48.02,25.07,2.72,00:02:46
168,12-11-2025,10:49:47:288461,106,47.86,25.04,2.71,00:02:47
169,12-11-2025,10:49:48:295473,106,47.76,25.03,2.72,00:02:48
170,12-11-2025,10:49:49:302475,105,47.71,25.01,2.72,00:02:49
171,12-11-2025,10:49:50:309473,105,47.65,24.99,2.72,00:02:50
172,12-11-2025,10:49:51:312460,105,47.61,24.97,2.72,00:02:51
173,12-11-2025,10:49:52:319461,104,47.62,24.96,2.71,00:02:52
174,12-11-2025,10:49:53:326458,104,47.63,24.94,2.71,00:02:53
175,12-11-2025,10:49:54:333460,104,47.66,24.93,2.72,00:02:54
176,12-11-2025,10:49:55:342457,104,47.67,24.91,2.72,00:02:55
177,12-11-2025,10:49:56:344516,104,47.74,24.9,2.71,00:02:56
178,12-11-2025,10:49:57:352474,104,47.82,24.89,2.7,00:02:57
179,12-11-2025,10:49:58:359458,104,47.85,24.88,2.71,00:02:58
180,12-11-2025,10:49:59:364471,103,47.89,24.88,2.71,00:02:59
181,12-11-2025,10:50:00:367458,104,47.94,24.88,2.72,00:03:00
182,12-11-2025,10:50:01:369454,103,47.99,24.87,2.72,00:03:01
183,12-11-2025,10:50:02:371454,102,47.97,24.86,2.72,00:03:02
184,12-11-2025,10:50:03:371474,101,47.92,24.86,2.72,00:03:03
185,12-11-2025,10:50:04:378473,102,47.87,24.85,2.71,00:03:04
186,12-11-2025,10:50:05:387474,102,47.87,24.85,2.73,00:03:05
187,12-11-2025,10:50:06:394474,101,47.85,24.84,2.72,00:03:06
188,12-11-2025,10:50:07:397479,101,47.87,24.84,2.72,00:03:07
189,12-11-2025,10:50:08:399458,101,47.86,24.83,2.71,00:03:08
190,12-11-2025,10:50:09:402474,100,47.84,24.82,2.72,00:03:09
191,12-11-2025,10:50:10:409475,101,47.82,24.82,2.7,00:03:10
192,12-11-2025,10:50:11:413455,101,47.84,24.82,2.71,00:03:11
193,12-11-2025,10:50:12:413477,100,47.84,24.81,2.71,00:03:12
194,12-11-2025,10:50:13:420473,100,47.83,24.81,2.73,00:03:13
195,12-11-2025,10:50:14:427475,99,47.79,24.8,2.72,00:03:14
196,12-11-2025,10:50:15:437473,100,47.74,24.8,2.73,00:03:15
197,12-11-2025,10:50:16:444475,100,47.72,24.79,2.71,00:03:16
198,12-11-2025,10:50:17:451473,98,47.65,24.79,2.72,00:03:17
199,12-11-2025,10:50:18:458484,98,47.58,24.78,2.72,00:03:18
200,12-11-2025,10:50:19:462461,98,47.52,24.78,2.72,00:03:19
201,12-11-2025,10:50:20:469460,98,47.47,24.77,2.71,00:03:20
202,12-11-2025,10:50:21:476460,97,47.46,24.76,2.72,00:03:21
203,12-11-2025,10:50:22:483460,98,47.43,24.76,2.72,00:03:22
204,12-11-2025,10:50:23:490461,97,47.42,24.75,2.72,00:03:23
205,12-11-2025,10:50:24:500472,96,47.36,24.73,2.71,00:03:24
206,12-11-2025,10:50:25:502483,96,47.25,24.72,2.7,00:03:25
207,12-11-2025,10:50:26:510472,95,47.09,24.69,2.72,00:03:26
208,12-11-2025,10:50:27:517477,95,46.92,24.66,2.72,00:03:27
209,12-11-2025,10:50:28:517471,94,46.72,24.62,2.7,00:03:28
210,12-11-2025,10:50:29:518477,94,46.52,24.58,2.71,00:03:29
211,12-11-2025,10:50:30:526472,93,46.36,24.55,2.7,00:03:30
212,12-11-2025,10:50:31:533477,93,46.24,24.52,2.73,00:03:31
213,12-11-2025,10:50:32:534460,92,46.12,24.5,2.71,00:03:32
214,12-11-2025,10:50:33:541460,91,46.04,24.47,2.72,00:03:33
215,12-11-2025,10:50:34:550460,92,46.01,24.46,2.71,00:03:34
216,12-11-2025,10:50:35:557460,92,46.01,24.44,2.73,00:03:35
217,12-11-2025,10:50:36:564460,92,46.06,24.43,2.71,00:03:36
218,12-11-2025,10:50:37:568473,92,46.15,24.42,2.72,00:03:37
219,12-11-2025,10:50:38:572458,92,46.21,24.41,2.72,00:03:38
220,12-11-2025,10:50:39:575474,92,46.24,24.41,2.73,00:03:39
221,12-11-2025,10:50:40:588476,92,46.26,24.4,2.72,00:03:40
222,12-11-2025,10:50:41:589473,91,46.26,24.39,2.72,00:03:41
223,12-11-2025,10:50:42:590472,91,46.25,24.39,2.72,00:03:42
224,12-11-2025,10:50:43:590473,91,46.3,24.38,2.72,00:03:43
225,12-11-2025,10:50:44:599474,91,46.38,24.38,2.7,00:03:44
226,12-11-2025,10:50:45:608473,92,46.5,24.38,2.7,00:03:45
227,12-11-2025,10:50:46:610461,92,46.61,24.38,2.73,00:03:46
228,12-11-2025,10:50:47:615472,91,46.74,24.37,2.72,00:03:47
229,12-11-2025,10:50:48:623478,91,46.8,24.37,2.7,00:03:48
230,12-11-2025,10:50:49:625458,91,46.84,24.36,2.74,00:03:49
231,12-11-2025,10:50:50:632473,90,46.8,24.35,2.73,00:03:50
232,12-11-2025,10:50:51:634496,89,46.67,24.34,2.72,00:03:51
233,12-11-2025,10:50:52:640473,89,46.53,24.33,2.71,00:03:52
234,12-11-2025,10:50:53:647475,89,46.4,24.32,2.74,00:03:53
235,12-11-2025,10:50:54:652474,88,46.27,24.31,2.7,00:03:54
236,12-11-2025,10:50:55:652474,89,46.18,24.3,2.71,00:03:55
237,12-11-2025,10:50:56:654458,88,46.1,24.29,2.72,00:03:56
238,12-11-2025,10:50:57:661472,88,46.05,24.29,2.72,00:03:57
239,12-11-2025,10:50:58:668477,88,46.06,24.28,2.72,00:03:58
240,12-11-2025,10:50:59:675472,88,46.06,24.27,2.73,00:03:59
241,12-11-2025,10:51:00:675475,87,46.04,24.26,2.71,00:04:00
242,12-11-2025,10:51:01:677488,88,46.02,24.26,2.7,00:04:01
243,12-11-2025,10:51:02:680474,87,46.05,24.25,2.73,00:04:02
244,12-11-2025,10:51:03:686475,88,46.1,24.25,2.72,00:04:03
245,12-11-2025,10:51:04:690474,87,46.16,24.24,2.73,00:04:04
246,12-11-2025,10:51:05:696475,88,46.19,24.23,2.72,00:04:05
247,12-11-2025,10:51:06:700594,88,46.22,24.22,2.72,00:04:06
248,12-11-2025,10:51:07:703455,87,46.21,24.21,2.72,00:04:07
249,12-11-2025,10:51:08:703476,86,46.15,24.19,2.72,00:04:08
250,12-11-2025,10:51:09:705458,85,45.99,24.15,2.72,00:04:09
251,12-11-2025,10:51:10:712473,84,45.77,24.11,2.72,00:04:10
252,12-11-2025,10:51:11:714458,84,45.56,24.07,2.71,00:04:11
253,12-11-2025,10:51:12:716458,84,45.29,24.02,2.72,00:04:12
254,12-11-2025,10:51:13:718455,83,45.09,23.99,2.75,00:04:13
255,12-11-2025,10:51:14:722458,83,44.93,23.96,2.72,00:04:15
256,12-11-2025,10:51:15:725455,82,44.83,23.94,2.72,00:04:16
257,12-11-2025,10:51:16:728458,82,44.78,23.92,2.72,00:04:17
258,12-11-2025,10:51:17:730455,82,44.73,23.9,2.72,00:04:18
259,12-11-2025,10:51:18:732458,82,44.71,23.88,2.7,00:04:19
260,12-11-2025,10:51:19:734455,82,44.72,23.87,2.71,00:04:20
261,12-11-2025,10:51:20:736458,82,44.72,23.87,2.73,00:04:21
262,12-11-2025,10:51:21:738455,82,44.72,23.86,2.72,00:04:22
263,12-11-2025,10:51:22:740458,82,44.75,23.85,2.72,00:04:23
264,12-11-2025,10:51:23:742455,82,44.76,23.84,2.72,00:04:24
265,12-11-2025,10:51:24:746458,82,44.74,23.83,2.72,00:04:25
266,12-11-2025,10:51:25:748455,82,44.75,23.83,2.73,00:04:26
267,12-11-2025,10:51:26:750458,82,44.76,23.82,2.71,00:04:27
268,12-11-2025,10:51:27:752455,81,44.82,23.82,2.71,00:04:28
269,12-11-2025,10:51:28:754458,81,44.83,23.81,2.73,00:04:29
270,12-11-2025,10:51:29:756455,81,44.81,23.8,2.73,00:04:30
271,12-11-2025,10:51:30:758468,81,44.78,23.8,2.72,00:04:31
272,12-11-2025,10:51:31:760455,81,44.77,23.79,2.72,00:04:32
273,12-11-2025,10:51:32:762458,81,44.8,23.79,2.71,00:04:33
274,12-11-2025,10:51:33:766458,81,44.84,23.78,2.72,00:04:34
275,12-11-2025,10:51:34:768458,80,44.85,23.78,2.73,00:04:35
276,12-11-2025,10:51:35:770456,80,44.79,23.77,2.73,00:04:36
277,12-11-2025,10:51:36:772466,80,44.76,23.76,2.73,00:04:37
278,12-11-2025,10:51:37:774458,80,44.74,23.76,2.73,00:04:38
279,12-11-2025,10:51:38:776458,80,44.75,23.75,2.72,00:04:39
280,12-11-2025,10:51:39:778458,79,44.74,23.74,2.71,00:04:40
281,12-11-2025,10:51:40:780458,79,44.68,23.73,2.73,00:04:41
282,12-11-2025,10:51:41:782458,79,44.6,23.72,2.74,00:04:42
283,12-11-2025,10:51:42:784458,79,44.59,23.71,2.72,00:04:43
284,12-11-2025,10:51:43:788458,79,44.58,23.7,2.72,00:04:44
285,12-11-2025,10:51:44:790458,79,44.58,23.69,2.72,00:04:45
286,12-11-2025,10:51:45:792458,79,44.55,23.69,2.73,00:04:46
287,12-11-2025,10:51:46:799475,79,44.52,23.67,2.73,00:04:47
288,12-11-2025,10:51:47:802458,78,44.43,23.64,2.72,00:04:48
289,12-11-2025,10:51:48:805461,77,44.33,23.61,2.72,00:04:49
290,12-11-2025,10:51:49:807458,77,44.18,23.58,2.71,00:04:50
291,12-11-2025,10:51:50:809461,76,44.04,23.55,2.71,00:04:51
292,12-11-2025,10:51:51:811468,76,43.9,23.52,2.72,00:04:52
293,12-11-2025,10:51:52:813461,76,43.78,23.49,2.73,00:04:53
294,12-11-2025,10:51:53:817457,76,43.66,23.46,2.73,00:04:54
295,12-11-2025,10:51:54:819458,75,43.59,23.44,2.72,00:04:55
296,12-11-2025,10:51:55:821458,75,43.53,23.42,2.73,00:04:56
297,12-11-2025,10:51:56:823457,75,43.49,23.4,2.72,00:04:57
298,12-11-2025,10:51:57:825458,75,43.47,23.39,2.72,00:04:58
299,12-11-2025,10:51:58:827458,75,43.45,23.37,2.72,00:04:59
300,12-11-2025,10:51:59:829458,75,43.47,23.37,2.72,00:05:00
301,12-11-2025,10:52:00:831458,75,43.54,23.36,2.73,00:05:01
302,12-11-2025,10:52:01:833458,75,43.62,23.35,2.72,00:05:02
303,12-11-2025,10:52:02:835458,75,43.72,23.35,2.72,00:05:03
304,12-11-2025,10:52:03:839458,75,43.81,23.34,2.73,00:05:04
305,12-11-2025,10:52:04:841458,76,43.89,23.34,2.73,00:05:05
306,12-11-2025,10:52:05:843458,75,43.96,23.33,2.72,00:05:06
307,12-11-2025,10:52:06:845458,75,44.03,23.33,2.72,00:05:07
308,12-11-2025,10:52:07:847458,75,44.09,23.32,2.71,00:05:08
309,12-11-2025,10:52:08:849458,75,44.09,23.32,2.72,00:05:09
310,12-11-2025,10:52:09:851458,75,44.15,23.32,2.73,00:05:10
311,12-11-2025,10:52:10:853458,75,44.26,23.32,2.7,00:05:11
312,12-11-2025,10:52:11:855458,75,44.35,23.32,2.72,00:05:12
313,12-11-2025,10:52:12:857458,75,44.4,23.32,2.73,00:05:13
314,12-11-2025,10:52:13:861458,75,44.47,23.31,2.72,00:05:14
315,12-11-2025,10:52:14:863458,75,44.45,23.31,2.74,00:05:15
316,12-11-2025,10:52:15:865458,75,44.49,23.31,2.73,00:05:16
317,12-11-2025,10:52:16:867458,75,44.52,23.31,2.72,00:05:17
318,12-11-2025,10:52:17:869458,75,44.55,23.3,2.72,00:05:18
319,12-11-2025,10:52:18:871458,75,44.54,23.3,2.71,00:05:19
320,12-11-2025,10:52:19:873458,74,44.51,23.29,2.73,00:05:20
321,12-11-2025,10:52:20:875458,74,44.43,23.28,2.73,00:05:21
322,12-11-2025,10:52:21:877458,74,44.31,23.27,2.71,00:05:22
323,12-11-2025,10:52:22:879458,74,44.16,23.26,2.72,00:05:23
324,12-11-2025,10:52:23:883458,73,44.05,23.25,2.72,00:05:24
325,12-11-2025,10:52:24:885458,73,43.91,23.24,2.73,00:05:25
326,12-11-2025,10:52:25:887458,72,43.76,23.23,2.72,00:05:26
327,12-11-2025,10:52:26:889458,73,43.67,23.23,2.72,00:05:27
328,12-11-2025,10:52:27:891543,72,43.67,23.23,2.72,00:05:28
329,12-11-2025,10:52:28:893458,73,43.69,23.22,2.72,00:05:29
330,12-11-2025,10:52:29:895458,72,43.71,23.22,2.74,00:05:30
331,12-11-2025,10:52:30:897458,73,43.7,23.21,2.72,00:05:31
332,12-11-2025,10:52:31:899458,72,43.7,23.21,2.73,00:05:32
333,12-11-2025,10:52:32:901458,73,43.74,23.21,2.72,00:05:33
334,12-11-2025,10:52:33:905458,72,43.79,23.2,2.72,00:05:34
335,12-11-2025,10:52:34:907458,72,43.74,23.18,2.73,00:05:35
336,12-11-2025,10:52:35:909458,71,43.6,23.15,2.73,00:05:36
337,12-11-2025,10:52:36:911471,71,43.43,23.12,2.72,00:05:37
338,12-11-2025,10:52:37:913458,70,43.21,23.08,2.73,00:05:38
339,12-11-2025,10:52:38:915458,70,43.04,23.05,2.71,00:05:39
340,12-11-2025,10:52:39:917458,70,42.87,23.03,2.72,00:05:40
341,12-11-2025,10:52:40:919458,69,42.71,22.99,2.72,00:05:41
342,12-11-2025,10:52:41:921458,69,42.58,22.94,2.74,00:05:42
343,12-11-2025,10:52:42:925458,69,42.43,22.91,2.73,00:05:43
344,12-11-2025,10:52:43:927458,68,42.34,22.88,2.73,00:05:44
345,12-11-2025,10:52:44:929458,69,42.27,22.85,2.74,00:05:45
346,12-11-2025,10:52:45:931458,68,42.25,22.83,2.72,00:05:46
