SNO,Date,Time,ADC,Humidity_pct,Temp_C,Voltage_V,phase
1,08-10-2025,11:26:56:783727,173,72.52,30.33,2.69,ac on and door open
2,08-10-2025,11:26:59:796648,137,72.39,30,2.68,
3,08-10-2025,11:27:02:809651,118,72.33,29.74,2.67,
4,08-10-2025,11:27:05:822647,106,72.28,29.53,2.69,
5,08-10-2025,11:27:08:835651,98,72.22,29.35,2.68,
6,08-10-2025,11:27:11:848646,95,72.1,29.19,2.69,
7,08-10-2025,11:27:14:861651,91,72.11,29.05,2.68,
8,08-10-2025,11:27:17:875647,89,72.17,28.92,2.68,
9,08-10-2025,11:27:20:888651,87,72.4,28.8,2.68,
10,08-10-2025,11:27:23:901647,85,72.61,28.69,2.68,
11,08-10-2025,11:27:26:916651,84,72.6,28.58,2.68,
12,08-10-2025,11:27:29:929646,82,72.69,28.48,2.68,
13,08-10-2025,11:27:32:942651,82,72.85,28.39,2.68,
14,08-10-2025,11:27:35:955647,81,73.01,28.31,2.69,
15,08-10-2025,11:27:38:968651,80,73.06,28.23,2.68,
16,08-10-2025,11:27:41:981647,80,73.06,28.15,2.68,
17,08-10-2025,11:27:44:994652,80,73.27,28.08,2.68,
18,08-10-2025,11:27:48:007647,79,73.54,28.01,2.69,
19,08-10-2025,11:27:51:014664,78,73.52,27.94,2.68,
20,08-10-2025,11:27:54:106648,78,73.66,27.87,2.68,
21,08-10-2025,11:27:57:106714,78,73.83,27.8,2.68,
22,08-10-2025,11:28:00:178711,71,73.23,27.9,2.67,
23,08-10-2025,11:28:03:445700,67,72.89,28.05,2.66,
24,08-10-2025,11:28:06:537659,71,72.8,27.92,2.66,
25,08-10-2025,11:28:09:630702,72,73.43,27.79,2.69,
26,08-10-2025,11:28:12:643649,74,73.54,27.68,2.68,
27,08-10-2025,11:28:15:656651,73,73.71,27.57,2.68,
28,08-10-2025,11:28:18:669649,74,73.5,27.47,2.68,
29,08-10-2025,11:28:21:682651,74,73.59,27.38,2.69,
30,08-10-2025,11:28:24:695649,73,73.62,27.28,2.68,
31,08-10-2025,11:28:27:710651,73,73.69,27.2,2.68,
32,08-10-2025,11:28:30:723649,74,73.95,27.12,2.68,
33,08-10-2025,11:28:33:736651,74,74.17,27.06,2.68,
34,08-10-2025,11:28:36:749649,74,74.26,27,2.68,
35,08-10-2025,11:28:39:762651,74,74.07,26.93,2.68,
36,08-10-2025,11:28:42:775649,74,74.01,26.86,2.69,
37,08-10-2025,11:28:45:790715,74,74.24,26.8,2.68,
38,08-10-2025,11:28:48:858703,67,73.6,26.92,2.69,
39,08-10-2025,11:28:52:509695,63,72.25,27.24,2.65,
40,08-10-2025,11:28:55:588706,65,71.51,27.15,2.68,
41,08-10-2025,11:28:58:634699,62,71.05,27.39,2.69,
42,08-10-2025,11:29:02:587696,61,71.3,27.37,2.68,
43,08-10-2025,11:29:05:667706,62,71.16,27.19,2.69,
44,08-10-2025,11:29:08:711697,60,70.9,27.34,2.69,
45,08-10-2025,11:29:12:664696,60,71.28,27.28,2.66,
46,08-10-2025,11:29:15:743706,61,71.3,27.12,2.67,
47,08-10-2025,11:29:18:991697,59,71.35,27.24,2.66,
48,08-10-2025,11:29:22:070704,61,70.92,27.11,2.68,
49,08-10-2025,11:29:25:115694,58,70.96,27.28,2.66,
50,08-10-2025,11:29:28:664695,59,70.66,27.26,2.66,
51,08-10-2025,11:29:32:518695,59,70.41,27.13,2.67,
52,08-10-2025,11:29:35:597706,60,70.3,26.93,2.68,
53,08-10-2025,11:29:38:640700,58,70.28,27.02,2.66,
54,08-10-2025,11:29:42:493697,58,70.59,26.93,2.66,
55,08-10-2025,11:29:45:572706,60,70.58,26.74,2.69,
56,08-10-2025,11:29:48:616699,58,70.4,26.88,2.7,
57,08-10-2025,11:29:51:695707,59,70.72,26.7,2.67,
58,08-10-2025,11:29:54:739699,58,70.18,26.85,2.66,
59,08-10-2025,11:29:57:752650,62,71.03,26.6,2.69,
60,08-10-2025,11:30:00:765651,64,72.04,26.38,2.69,
61,08-10-2025,11:30:04:114696,58,71.62,26.52,2.67,
62,08-10-2025,11:30:07:497702,59,71.67,26.45,2.66,
63,08-10-2025,11:30:10:576707,61,71.05,26.35,2.7,
64,08-10-2025,11:30:14:395697,58,70.54,26.69,2.66,
65,08-10-2025,11:30:18:213701,57,69.7,26.87,2.66,
