SNO,Date,Time,ADC,Humidity_pct,Temp_C,Voltage_V,PHASE
1,10/9/2025,11:35:30:156496,1463,74,29.62,2.67,AC ON DOOR OPEN STARTS
2,10/9/2025,11:35:33:975470,331,70.99,29.76,2.67,
3,10/9/2025,11:35:37:020470,205,69.27,29.83,2.66,
4,10/9/2025,11:35:40:068474,151,68.54,29.89,2.66,
5,10/9/2025,11:35:43:145475,139,68.58,29.64,2.67,
6,10/9/2025,11:35:46:161418,139,69.78,29.43,2.66,
7,10/9/2025,11:35:49:175420,137,70.6,29.26,2.67,
8,10/9/2025,11:35:52:189423,134,71.01,29.12,2.66,
9,10/9/2025,11:35:55:269478,118,70.33,29.16,2.66,
10,10/9/2025,11:35:58:367433,120,70.77,29.05,2.66,
11,10/9/2025,11:36:01:462423,119,71.14,28.96,2.66,
12,10/9/2025,11:36:04:506470,95,69.86,29.4,2.66,
13,10/9/2025,11:36:07:521419,99,69.75,29.24,2.66,
14,10/9/2025,11:36:11:439472,83,68.57,29.68,2.64,
15,10/9/2025,11:36:15:256470,76,67.45,29.97,2.66,
16,10/9/2025,11:36:19:072471,72,66.78,30.09,2.66,
17,10/9/2025,11:36:22:890470,69,66.48,30.14,2.65,
18,10/9/2025,11:36:25:934470,68,66.32,30.06,2.66,
19,10/9/2025,11:36:29:080468,67,66.53,30.01,2.66,
20,10/9/2025,11:36:32:428472,66,66.7,29.96,2.66,
21,10/9/2025,11:36:36:248470,64,66.25,30.11,2.66,
22,10/9/2025,11:36:39:595468,65,66.15,30,2.65,
23,10/9/2025,11:36:42:640470,64,65.86,29.99,2.66,
24,10/9/2025,11:36:45:683466,63,65.87,30.02,2.66,
25,10/9/2025,11:36:48:726470,63,65.56,30.02,2.69,
26,10/9/2025,11:36:51:770470,63,65.5,30,2.66,
27,10/9/2025,11:36:54:838478,66,65.94,29.78,2.67,
28,10/9/2025,11:36:58:385468,63,66.42,29.72,2.66,
29,10/9/2025,11:37:01:467477,65,66.36,29.52,2.66,
30,10/9/2025,11:37:04:481419,71,67.13,29.33,2.69,
31,10/9/2025,11:37:07:497421,73,67.97,29.16,2.68,
32,10/9/2025,11:37:10:526419,75,68.51,29.01,2.66,
33,10/9/2025,11:37:13:542420,76,68.8,28.88,2.67,
34,10/9/2025,11:37:16:556419,77,68.97,28.78,2.64,
35,10/9/2025,11:37:19:570420,78,69.09,28.69,2.66,
36,10/9/2025,11:37:22:584419,79,69.14,28.62,2.65,
37,10/9/2025,11:37:25:598420,79,69.07,28.55,2.64,
38,10/9/2025,11:37:28:612419,80,68.99,28.5,2.65,
39,10/9/2025,11:37:31:626420,80,68.94,28.45,2.66,
40,10/9/2025,11:37:34:640419,80,68.88,28.4,2.66,
41,10/9/2025,11:37:37:656420,80,68.8,28.36,2.64,
42,10/9/2025,11:37:40:670419,80,68.79,28.33,2.65,
43,10/9/2025,11:37:43:684421,80,68.8,28.3,2.65,
44,10/9/2025,11:37:46:698419,80,68.8,28.27,2.68,
45,10/9/2025,11:37:49:712421,80,68.6,28.24,2.67,
46,10/9/2025,11:37:52:726419,81,68.34,28.21,2.65,
47,10/9/2025,11:37:55:740420,80,68.18,28.19,2.66,
48,10/9/2025,11:37:58:754419,80,68.32,28.16,2.66,
49,10/9/2025,11:38:01:834477,73,67.55,28.27,2.66,
50,10/9/2025,11:38:04:848418,76,67.6,28.22,2.67,
51,10/9/2025,11:38:07:864443,78,67.83,28.18,2.66,
52,10/9/2025,11:38:10:878418,78,68.02,28.14,2.64,
53,10/9/2025,11:38:13:892420,79,68.04,28.1,2.66,
54,10/9/2025,11:38:17:477475,71,67.8,28.33,2.65,
55,10/9/2025,11:38:20:521470,66,66.09,28.79,2.64,
56,10/9/2025,11:38:23:600477,67,65.47,28.75,2.65,
57,10/9/2025,11:38:27:043466,63,65.32,28.89,2.65,
58,10/9/2025,11:38:30:124477,65,64.82,28.76,2.66,
59,10/9/2025,11:38:33:472469,62,64.63,28.9,2.67,
60,10/9/2025,11:38:37:122481,61,64.04,28.95,2.66,
61,10/9/2025,11:38:40:204476,64,63.67,28.82,2.66,
62,10/9/2025,11:38:43:451468,60,63.56,28.91,2.65,
63,10/9/2025,11:38:47:102468,59,63.19,28.91,2.65,
64,10/9/2025,11:38:51:055468,60,63.26,28.82,2.67,
65,10/9/2025,11:38:54:150461,66,63.84,28.59,2.67,
66,10/9/2025,11:38:57:243423,69,64.68,28.39,2.68,
67,10/9/2025,11:39:00:319476,66,64.51,28.31,2.66,
68,10/9/2025,11:39:03:412421,69,65.04,28.16,2.65,
69,10/9/2025,11:39:07:156469,62,64.88,28.43,2.64,
70,10/9/2025,11:39:10:200470,61,63.75,28.71,2.67,
71,10/9/2025,11:39:14:121470,58,62.81,28.97,2.66,
72,10/9/2025,11:39:17:166470,58,62.09,29,2.67,
73,10/9/2025,11:39:20:985504,57,61.68,29.14,2.64,
74,10/9/2025,11:39:24:803471,57,61.31,29.2,2.64,
75,10/9/2025,11:39:27:817418,63,62.11,28.88,2.66,
76,10/9/2025,11:39:30:831420,66,63.38,28.6,2.66,
77,10/9/2025,11:39:33:845418,69,64.15,28.37,2.65,
78,10/9/2025,11:39:36:859421,70,64.76,28.19,2.67,
79,10/9/2025,11:39:39:873418,71,65.11,28.04,2.67,
80,10/9/2025,11:39:42:887421,73,65.33,27.92,2.67,
81,10/9/2025,11:39:45:904418,73,65.46,27.82,2.66,
82,10/9/2025,11:39:48:918421,73,65.48,27.74,2.64,
83,10/9/2025,11:39:51:932418,74,65.42,27.68,2.64,
84,10/9/2025,11:39:54:946421,75,65.16,27.61,2.66,
85,10/9/2025,11:39:57:960418,74,64.95,27.56,2.66,
86,10/9/2025,11:40:01:040474,67,64.61,27.78,2.64,
87,10/9/2025,11:40:04:054419,71,64.2,27.69,2.66,
88,10/9/2025,11:40:07:068420,73,64.57,27.61,2.65,
89,10/9/2025,11:40:10:082419,73,64.91,27.54,2.66,
90,10/9/2025,11:40:13:096421,74,64.99,27.48,2.66,
91,10/9/2025,11:40:16:112419,75,64.92,27.43,2.67,
92,10/9/2025,11:40:19:126421,76,64.91,27.39,2.66,
93,10/9/2025,11:40:22:140419,75,64.99,27.35,2.67,
94,10/9/2025,11:40:25:154421,76,65.11,27.31,2.66,
95,10/9/2025,11:40:28:168419,76,65.12,27.28,2.65,
96,10/9/2025,11:40:31:182420,77,65.1,27.26,2.64,AC ON DOOR OPEN ENDS
97,10/9/2025,11:40:34:196420,76,65.03,27.24,2.66,AC ON DOOR CLOSE STARTS
98,10/9/2025,11:40:37:210421,76,64.95,27.22,2.65,
99,10/9/2025,11:40:40:224420,77,64.83,27.2,2.66,
100,10/9/2025,11:40:43:238421,75,64.82,27.17,2.66,
101,10/9/2025,11:40:46:254420,76,64.81,27.15,2.66,
102,10/9/2025,11:40:49:268422,77,64.85,27.13,2.65,
103,10/9/2025,11:40:52:282420,76,64.86,27.11,2.67,
104,10/9/2025,11:40:55:296421,77,64.82,27.1,2.66,
105,10/9/2025,11:40:58:310420,77,64.63,27.08,2.67,
106,10/9/2025,11:41:01:389477,70,63.94,27.23,2.66,
107,10/9/2025,11:41:04:403420,73,63.76,27.19,2.67,
108,10/9/2025,11:41:07:417422,74,63.97,27.14,2.66,
109,10/9/2025,11:41:10:431420,75,63.91,27.09,2.66,
110,10/9/2025,11:41:13:445422,74,63.44,27.03,2.65,
111,10/9/2025,11:41:16:461420,75,63.43,26.98,2.65,
112,10/9/2025,11:41:19:475421,74,63.44,26.92,2.67,
113,10/9/2025,11:41:22:489420,75,63.51,26.86,2.67,
114,10/9/2025,11:41:25:503422,75,63.54,26.8,2.67,
115,10/9/2025,11:41:28:517420,75,63.43,26.74,2.65,
116,10/9/2025,11:41:31:531421,75,63.39,26.67,2.66,
117,10/9/2025,11:41:34:546420,75,63.34,26.6,2.67,
118,10/9/2025,11:41:37:560421,75,63.44,26.54,2.66,
119,10/9/2025,11:41:40:574420,75,63.58,26.48,2.65,
120,10/9/2025,11:41:43:588421,74,63.69,26.42,2.66,
121,10/9/2025,11:41:46:604437,75,63.74,26.37,2.64,
122,10/9/2025,11:41:49:618421,74,63.78,26.32,2.66,
123,10/9/2025,11:41:52:632420,75,63.57,26.26,2.67,
124,10/9/2025,11:41:55:646421,74,63.44,26.22,2.67,
125,10/9/2025,11:41:58:660420,74,63.04,26.16,2.66,
126,10/9/2025,11:42:02:446475,67,62.79,26.38,2.66,
127,10/9/2025,11:42:05:540432,70,62.2,26.28,2.65,
128,10/9/2025,11:42:08:634469,72,62.29,26.19,2.68,
129,10/9/2025,11:42:11:648421,72,62.33,26.11,2.64,
130,10/9/2025,11:42:14:664421,72,62.4,26.03,2.65,
131,10/9/2025,11:42:17:678420,72,62.32,25.97,2.65,
132,10/9/2025,11:42:20:692421,72,62.27,25.91,2.66,
133,10/9/2025,11:42:23:706420,72,62.34,25.85,2.66,
134,10/9/2025,11:42:26:720421,72,62.18,25.77,2.66,
135,10/9/2025,11:42:29:734420,71,61.73,25.69,2.66,
136,10/9/2025,11:42:32:748422,72,61.51,25.61,2.65,
137,10/9/2025,11:42:35:762420,72,61.59,25.54,2.68,
138,10/9/2025,11:42:38:776421,71,61.67,25.47,2.67,
139,10/9/2025,11:42:41:790420,71,61.75,25.41,2.66,
140,10/9/2025,11:42:44:807421,71,61.84,25.36,2.66,
141,10/9/2025,11:42:47:821420,71,61.82,25.31,2.65,
142,10/9/2025,11:42:50:835421,71,61.86,25.26,2.67,
